Commune A;Commune B;Distance
CHOLET;AVIGNON;87
CHOLET;LA ROCHE-SUR-YON;62
CHOLET;CAYENNE;69
CHOLET;SAINT-ANDRE;54
CHOLET;SAINT-PAUL;77
CHOLET;TAMPON;76
ANGERS;LAVAL;57
ANGERS;ROUBAIX;59
ANGERS;VILLENEUVE-D'ASCQ;61
ANGERS;LILLE;69
ANGERS;TOURCOING;61
ANGERS;ABYMES;90
ANGERS;CAYENNE;97
REIMS;VENISSIEUX;58
REIMS;LYON;62
REIMS;VILLEURBANNE;57
REIMS;CHAMBERY;76
REIMS;ANNECY;82
REIMS;NIORT;50
REIMS;AVIGNON;82
REIMS;LA ROCHE-SUR-YON;62
REIMS;CAYENNE;89
REIMS;SAINT-ANDRE;17
REIMS;SAINT-PAUL;19
REIMS;TAMPON;20
LAVAL;NANCY;96
LAVAL;ROUBAIX;96
LAVAL;VILLENEUVE-D'ASCQ;99
LAVAL;TOURCOING;97
LAVAL;LYON;99
LAVAL;AVIGNON;96
LAVAL;LA ROCHE-SUR-YON;87
LAVAL;ABYMES;37
LAVAL;CAYENNE;66
NANCY;METZ;49
NANCY;CLERMONT-FERRAND;31
NANCY;LE MANS;81
NANCY;LE HAVRE;93
NANCY;HYERES;79
NANCY;TOULON;82
NANCY;LA SEYNE-SUR-MER;82
NANCY;ABYMES;62
NANCY;SAINT-DENIS;57
LORIENT;VANNES;69
LORIENT;AJACCIO;68
LORIENT;SAINT-LOUIS;73
LORIENT;SAINT-PIERRE;61
VANNES;SAINT-LOUIS;73
VANNES;SAINT-PIERRE;8
METZ;CLERMONT-FERRAND;30
METZ;PAU;55
METZ;LE HAVRE;49
METZ;HYERES;29
METZ;FREJUS;89
METZ;TOULON;38
METZ;LA SEYNE-SUR-MER;41
METZ;ABYMES;88
METZ;SAINT-DENIS;66
ROUBAIX;VILLENEUVE-D'ASCQ;3
ROUBAIX;LILLE;13
ROUBAIX;TOURCOING;2
ROUBAIX;DUNKERQUE;95
ROUBAIX;LE MANS;54
ROUBAIX;BELFORT;68
VILLENEUVE-D'ASCQ;LILLE;10
VILLENEUVE-D'ASCQ;TOURCOING;3
VILLENEUVE-D'ASCQ;DUNKERQUE;93
VILLENEUVE-D'ASCQ;LE MANS;55
VILLENEUVE-D'ASCQ;BELFORT;65
LILLE;TOURCOING;13
LILLE;DUNKERQUE;87
LILLE;LE MANS;57
LILLE;BELFORT;58
TOURCOING;DUNKERQUE;93
TOURCOING;LE MANS;52
TOURCOING;BELFORT;66
DUNKERQUE;CALAIS;59
DUNKERQUE;STRASBOURG;79
DUNKERQUE;COLMAR;36
DUNKERQUE;MULHOUSE;32
DUNKERQUE;LE MANS;64
DUNKERQUE;ROUEN;98
DUNKERQUE;AMIENS;85
DUNKERQUE;BELFORT;31
DUNKERQUE;FORT-DE-FRANCE;70
DUNKERQUE;SAINT-DENIS;92
BEAUVAIS;CALAIS;61
BEAUVAIS;PERPIGNAN;96
BEAUVAIS;STRASBOURG;65
BEAUVAIS;COLMAR;85
BEAUVAIS;MULHOUSE;74
BEAUVAIS;PARIS;47
BEAUVAIS;CHELLES;70
BEAUVAIS;MEAUX;95
BEAUVAIS;SARTROUVILLE;30
BEAUVAIS;VERSAILLES;35
BEAUVAIS;AMIENS;38
BEAUVAIS;MONTAUBAN;74
BEAUVAIS;POITIERS;83
BEAUVAIS;LIMOGES;28
BEAUVAIS;EVRY;67
BEAUVAIS;NEUILLY-SUR-SEINE;39
BEAUVAIS;CLAMART;44
BEAUVAIS;ISSY-LES-MOULINEAUX;43
BEAUVAIS;RUEIL-MALMAISON;35
BEAUVAIS;ANTONY;49
BEAUVAIS;LEVALLOIS-PERRET;40
BEAUVAIS;BOULOGNE-BILLANCOURT;41
BEAUVAIS;ASNIERES-SUR-SEINE;39
BEAUVAIS;COLOMBES;36
BEAUVAIS;COURBEVOIE;37
BEAUVAIS;CLICHY;41
BEAUVAIS;NANTERRE;34
BEAUVAIS;MONTREUIL;54
BEAUVAIS;AULNAY-SOUS-BOIS;59
BEAUVAIS;SAINT-DENIS;44
BEAUVAIS;NOISY-LE-GRAND;68
BEAUVAIS;AUBERVILLIERS;47
BEAUVAIS;PANTIN;50
BEAUVAIS;BONDY;56
BEAUVAIS;EPINAY-SUR-SEINE;39
BEAUVAIS;DRANCY;53
BEAUVAIS;LE BLANC-MESNIL;53
BEAUVAIS;FONTENAY-SOUS-BOIS;60
BEAUVAIS;SAINT-MAUR-DES-FOSSES;64
BEAUVAIS;VILLEJUIF;52
BEAUVAIS;VITRY-SUR-SEINE;55
BEAUVAIS;CHAMPIGNY-SUR-MARNE;64
BEAUVAIS;IVRY-SUR-SEINE;52
BEAUVAIS;MAISONS-ALFORT;57
BEAUVAIS;CRETEIL;61
BEAUVAIS;CERGY;21
BEAUVAIS;ARGENTEUIL;34
BEAUVAIS;SARCELLES;44
